554W101001G.txt
20.F0711.010     CONN CTR SMD 10P HS8810F              1 BT1
63.10334.1DL     CHIP RES 10K J 1/16W 0402            59 R396
63.10334.1DL     CHIP RES 10K J 1/16W 0402            59 R399
63.10334.1DL     CHIP RES 10K J 1/16W 0402            59 R76
63.R0034.1DL     CHIP RES 0 J 1/16W 0402              12 R433
64.18725.6DL     CHIP RES 18.7K F 1/16W 0402           1 R354
71.08513.003     IC CLK GEN SLG8SP513VTR QFN64P        1 U22
71.0NB8M.B0U     IC VGA NB8M-GS-B-A2/H G3-128          1 U55
72.51232.A0U     IC VRAM HY5RS123235BFP-14 FBGA        2 U11
72.51232.A0U     IC VRAM HY5RS123235BFP-14 FBGA        2 U10
74.00792.A79     IC TEMP SENSOR G792SFUF SSOP          1 U60
74.04411.A13     IC AMP MAX4411ETP+ QFN 20P            1 U29
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC26
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC10
78.10321.2FL     CHIP CAP0.01U16V K0402 X7R(ROH       34 R161
78.10324.2BL     CHIP CAP 0.01U50V K0603 X7R(RO        1 Q20.1
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C65
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C53
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C49
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C42
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C43
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C44
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C45
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C52
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C54
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C64
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C63
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C62
78.10622.52L     CHIP CAP C 10U 25V K1206 X5R(R       19 C538
78.10623.51L     CHIP CAP 10U10V K0805 X5R(ROHS        2 C489
78.10623.51L     CHIP CAP 10U10V K0805 X5R(ROHS        2 C483
78.33034.1FL     CHIP CAP 33P50V J0402 NPO(ROHS        9 EC103
78.33034.1FL     CHIP CAP 33P50V J0402 NPO(ROHS        9 EC102
83.9R103.D3F     DIODE ZEN MMPZ5239BPT SC-76           1 D14
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q7
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q5
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q42
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q34
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q26
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q18
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q10
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q12
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q15
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q20
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q32
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q40
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q48
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q6
